year,start_equity,end_equity,return_pct,trades,max_dd_cumulative_pct
2023,500.0,904.6375515312458,80.92751030624916,150,27.34888994810661
2024,904.6375515312458,1557.6117662068737,72.18075499633672,159,30.26095592366267
2025,1557.6117662068737,6051.342895108662,288.50135999197084,172,30.26095592366267
