start_min,range_min,window_min,sl_mode,sl_mult,tp_r,trend_filter,buffer_mult,direction,min_range_atr,max_range_atr,min_range_pct,max_range_pct,max_bars,symbol,train_trades,train_ret,train_dd,train_pf,train_wr,val_trades,val_ret,val_dd,val_pf,val_wr,all_trades,all_ret,all_dd,all_pf,all_wr,score
810,15,120,range,0.75,2.0,none,0.05,long,0.35,3.5,0,0.025,48,XAUUSD,323,52.399994741589715,13.34327768010061,1.251870825798918,41.795665634674926,170,57.80340008513338,8.648275251635908,1.5152529726433988,45.88235294117647,493,140.49237343179283,13.34327768010061,1.341261139700616,43.20486815415821,344.23052955847055
420,30,240,range,0.75,2.0,none,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,427,15.362135477054583,24.22748899215589,1.0697748618473149,36.29976580796253,225,79.06867149361628,9.588743084954828,1.5069633394386948,45.33333333333333,652,106.57744340542715,24.22748899215589,1.2066652566881826,39.41717791411043,321.01395837599074
810,15,240,range,0.75,2.0,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,442,54.57579221888147,17.437271354692186,1.1865104816758287,40.27149321266968,234,55.65396033395107,15.05579494131489,1.3501785483456459,42.73504273504273,676,140.60334230626813,17.437271354692186,1.2425665526753225,41.124260355029584,320.74928964387595
420,30,120,range,0.75,2.0,none,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,422,14.27661283531354,23.46211009308675,1.066723281638473,36.25592417061612,222,79.12204986447553,9.588743084954828,1.5155940083501043,45.4954954954955,644,104.69461142630405,23.46211009308675,1.2067537531805377,39.44099378881988,319.96651814718183
810,15,120,range,0.75,2.0,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,441,52.97888167766291,17.43727135469206,1.1824269233774007,40.136054421768705,234,55.65396033395107,15.05579494131489,1.3501785483456459,42.73504273504273,675,138.11768780587136,17.43727135469206,1.2398816070602656,41.03703703703704,317.3137608784389
810,15,120,range,0.75,2.0,with,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,223,31.71075182664611,12.71415782629467,1.2371301817241391,40.80717488789238,114,52.46339497109203,5.936128305586986,1.7339335502382685,47.368421052631575,337,100.81068377685423,12.71415782629467,1.3968998933000305,43.02670623145401,297.22696284605615
810,30,120,range,1.0,2.0,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,364,46.38372818923735,14.14194522024628,1.248025440630017,46.15384615384615,199,50.80577028584996,6.991517435292735,1.4200749930355374,45.7286432160804,563,120.75510886892435,14.14194522024628,1.3141590521353663,46.00355239786856,296.8435639030192
810,15,240,range,0.75,2.0,with,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,230,32.64879426061811,11.334112087306215,1.2368444838354113,40.869565217391305,120,51.11665723505392,6.876767022531122,1.6765233683489857,46.666666666666664,350,100.45442374925018,11.334112087306215,1.3816328032977132,42.857142857142854,291.5554020242958
810,15,240,range,0.75,2.0,none,0.05,long,0.35,3.5,0,0.025,48,XAUUSD,339,50.327281450339115,14.464645483455365,1.2319984972983447,41.5929203539823,181,47.320180376329304,11.494395155672956,1.402531240762574,44.19889502762431,520,121.46242218747183,14.464645483455365,1.291316351794028,42.5,288.40751128286854
810,15,120,range,0.75,2.0,none,0.0,long,0.35,3.5,0,0.025,48,XAUUSD,332,26.681829812161027,23.756104396687025,1.1383914593437452,39.45783132530121,174,61.33293080528883,8.195582145472706,1.5283351901904936,45.97701149425287,506,104.37950883372781,23.756104396687025,1.2662916780071607,41.699604743083,288.1305445385899
810,30,240,range,1.0,2.0,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,370,44.733906994500195,14.14194522024626,1.2375137767265396,46.21621621621622,204,49.59779048628678,6.991517435292777,1.4016202180905928,45.09803921568628,574,116.51872694824968,14.14194522024626,1.3010368877871836,45.818815331010455,287.10289036569577
420,30,120,range,0.75,2.0,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,419,12.426426608835595,23.993209414640738,1.0606439059366297,36.51551312649165,222,71.48240958495767,9.588743084954828,1.4743189835055348,44.5945945945946,641,92.791545359095,23.993209414640738,1.1910031401828516,39.31357254290172,285.43582192285294
420,30,240,range,1.0,1.5,none,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,427,19.598148133954176,22.826281861791788,1.0927256384486315,44.26229508196721,225,62.939563992545054,6.376414921140889,1.4931913078729429,51.11111111111111,652,94.87270111262325,22.826281861791788,1.2183453304375624,46.62576687116564,275.2644028570669
810,15,120,range,0.75,2.0,with,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,219,34.29376846637666,13.246465809389866,1.2599361815273336,41.55251141552511,111,45.60446115726664,5.9361283055870055,1.6643350575813962,46.846846846846844,330,95.53771794325485,13.246465809389866,1.3913770540351962,43.333333333333336,272.33710635750015
810,15,120,range,0.75,2.0,none,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,442,31.678025286909683,18.56751245080929,1.1198182647517771,38.46153846153847,234,55.571492239470466,14.037828080966253,1.3477840586137741,42.30769230769231,676,104.85346889031266,18.56751245080929,1.1965604106017833,39.79289940828402,269.36402768101027
810,15,240,range,0.75,2.0,none,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,442,31.678025286909683,18.56751245080929,1.1198182647517771,38.46153846153847,234,55.571492239470466,14.037828080966253,1.3477840586137741,42.30769230769231,676,104.85346889031266,18.56751245080929,1.1965604106017833,39.79289940828402,269.36402768101027
420,30,120,range,1.0,1.5,none,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,422,14.978078640382853,23.96678015940079,1.0752721459393972,43.838862559241704,222,63.79103167068521,6.376414921140876,1.508020771132035,51.35135135135135,644,88.32378120021485,23.96678015940079,1.20959931991909,46.42857142857143,267.36458200252116
810,15,120,range,0.75,1.5,with,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,219,36.934630701480955,9.545466515944788,1.3008996606680712,47.48858447488584,111,39.92265882652604,6.376414921140889,1.6633100315936125,53.153153153153156,330,91.60257613179657,9.545466515944788,1.4174278647219143,49.3939393939394,261.9053387018048
420,30,240,range,0.75,2.0,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,426,11.235836138068333,24.753277320494327,1.0556786948683068,36.38497652582159,225,66.38921053787486,9.588743084954828,1.4379061867113379,44.0,651,85.08442958533571,24.753277320494327,1.176604887474217,39.01689708141321,261.59694229735135
810,15,240,range,1.25,2.0,with,0.05,short,0.35,3.5,0,0.025,48,XAUUSD,92,8.561650838248468,10.093299939981264,1.1942859388337699,44.565217391304344,40,29.15534455853175,2.9700999999999986,3.064471918614929,62.5,132,40.21317419857002,10.093299939981264,1.596450283114972,50.0,258.99251688595865
810,15,240,range,1.0,2.0,with,0.05,short,0.35,3.5,0,0.025,48,XAUUSD,92,12.259181454233614,9.60124202695987,1.2616019646639485,44.565217391304344,40,29.163756608861235,2.970099999999997,2.910536977573902,62.5,132,44.99817590464621,9.60124202695987,1.6310232527518214,50.0,258.3614623274772
810,15,240,range,0.75,2.0,with,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,226,30.369777561435306,14.998199227163378,1.2265209549347158,41.150442477876105,117,44.12608424681248,6.876767022531122,1.6076016556607517,46.15384615384615,343,87.89685544057608,14.998199227163378,1.3523416063380074,42.857142857142854,251.87822505948253
810,15,240,range,0.75,2.0,none,0.0,long,0.35,3.5,0,0.025,48,XAUUSD,347,27.274501564413576,22.212555206990476,1.1355518546523717,39.481268011527376,184,51.8042689412372,11.67504623247451,1.4276608732947644,44.02173913043478,531,93.20812664846163,22.212555206990476,1.2339143827420405,41.05461393596987,249.0591456610371
810,15,240,range,0.75,2.0,with,0.0,short,0.35,3.5,0,0.025,48,XAUUSD,94,8.109090872955482,7.184554311193294,1.1621920894479583,40.42553191489361,43,32.75363893892165,2.970100000000012,2.675245199915204,58.139534883720934,137,43.51875215763403,7.184554311193294,1.5318836426883629,45.98540145985402,245.03541440691706
